autor,inclinacao_0,inclinacao_1,inclinacao_2,inclinacao_3,inclinacao_4,inclinacao_5,inclinacao_6,inclinacao_7,inclinacao_8,inclinacao_9,inclinacao_10,inclinacao_11,inclinacao_12,inclinacao_13,inclinacao_14,inclinacao_15,inclinacao_16
a001,0.34759691057505765,0.5894188415876618,0.2771697353490245,0.1226740851910148,0.0,0.07380699635174542,0.2771697353490245,0.5894188415876618,1.0,0.7874373146894103,0.5204436472784509,0.3352001659406762,0.1629635052527545,0.16772209817343242,0.19391876227777982,0.1629635052527545,0.34759691057505765
a002,1.0,0.26092990094976193,0.12023527614391567,0.048251979731622235,0.0,0.031561123418124414,0.12023527614391567,0.26092990094976193,0.5015150357752145,0.47783464466681946,0.4361647951518855,0.4055457948208693,0.35134825452601026,0.4395895398874545,0.578692740559672,0.35134825452601026,1.0
a003,0.43458008811017557,0.5346444666052336,0.23537282722579178,0.0970600487256845,0.0,0.0712834042338328,0.23537282722579178,0.5346444666052336,1.0,0.9500498617755841,0.7736527853166538,0.5963973289236169,0.40598846236382685,0.37416528863025283,0.36034284704426967,0.40598846236382685,0.43458008811017557
a004,0.5229634854680318,0.4491959749148582,0.20063704797698692,0.07717318226405528,0.0,0.07089087522456493,0.20063704797698692,0.4491959749148582,0.8935755144327738,1.0,0.9644553680660414,0.8744310103492742,0.7340710451775028,0.6934344380641677,0.6439474931390594,0.7340710451775028,0.5229634854680318
a005,1.0,0.3213755628789213,0.16842343588840533,0.06472793137279566,0.0,0.05257729365298986,0.16842343588840533,0.3213755628789213,0.48484314860003525,0.27551508138160047,0.12097808860154462,0.04653970969283792,0.005685391562476416,0.1883977761565747,0.4124676108777138,0.005685391562476416,1.0
a006,0.5185703359635868,0.5940268994720839,0.2804484488965993,0.12151398138302834,0.0,0.0825078814333949,0.2804484488965993,0.5940268994720839,1.0,0.7616169530098681,0.4926968492920701,0.3095491260469715,0.1535620348088869,0.18736359057585764,0.2543884194228366,0.1535620348088869,0.5185703359635868
a007,0.6082707014767933,0.8396954113924051,0.5904700685654009,0.38241693037974683,0.17991824894514769,0.2794040084388186,0.5904700685654009,0.8396954113924051,1.0,0.5082575158227848,0.19117550105485231,0.0782568565400844,0.0,0.08656381856540084,0.19574103375527427,0.0,0.6082707014767933
a008,0.29706590823345036,0.1256182654156941,0.07204009966873826,0.032106269097301396,0.0,0.03317592527332203,0.07204009966873826,0.1256182654156941,0.25807735521291547,0.49818614505035264,0.7247003511623182,0.9089465545047865,1.0,0.8828270432298642,0.7114747573580321,1.0,0.29706590823345036
a009,1.0,0.3101549150579696,0.1320520243458122,0.050245011509186165,0.0,0.04643215228842162,0.1320520243458122,0.3101549150579696,0.6552327962379789,0.7271546185022524,0.69824749692853,0.6284580514877212,0.5301286486944488,0.6290087978196094,0.7718780449917388,0.5301286486944488,1.0
a010,0.48014464972742227,0.4261593050287532,0.1764889813342034,0.07304539336840818,0.0,0.05988553094878801,0.1764889813342034,0.4261593050287532,0.8946667210462634,1.0,0.9668148510678793,0.8684149707029922,0.7104286471715813,0.6623706785214187,0.5979716410402817,0.7104286471715813,0.48014464972742227
a011,1.0,0.28693049431838547,0.13171667204358892,0.04674337742409578,0.0,0.040721224504427,0.13171667204358892,0.28693049431838547,0.5143026131842133,0.4145248593038678,0.3094597985446464,0.24719503889307093,0.22495250385346094,0.3898268631035595,0.5864788328494104,0.22495250385346094,1.0
a012,0.8959031100478468,0.6117523923444976,0.3091507177033493,0.1304126794258373,0.0,0.10651913875598086,0.3091507177033493,0.6117523923444976,1.0,0.8226076555023923,0.6106160287081339,0.4516148325358852,0.32610645933014354,0.43277511961722487,0.5747607655502392,0.32610645933014354,0.8959031100478468
a013,0.6817522903861765,0.5627681781282616,0.27470138003015193,0.10802504928679114,0.0,0.1060825698712745,0.27470138003015193,0.5627681781282616,1.0,0.9695581584135452,0.8501971471645599,0.7298214078626928,0.6033862924736171,0.6141134176040821,0.6434535544474081,0.6033862924736171,0.6817522903861765
a014,0.8689731128282228,0.23348833956854656,0.121743994965211,0.04683402678228034,0.0,0.05342470542988007,0.121743994965211,0.23348833956854656,0.4817663718051816,0.6730009440229363,0.8185727771756233,0.9127827698332226,0.9373623299884619,0.9839166462711094,1.0,0.9373623299884619,0.8689731128282228
a015,0.7191748509671055,0.6167174164772483,0.31624994639104514,0.13112750353819103,0.0,0.09405155037097397,0.31624994639104514,0.6167174164772483,1.0,0.8271861731783677,0.6549942102328773,0.5587554145044388,0.45679118239910793,0.5085774327743706,0.5661105631084616,0.45679118239910793,0.7191748509671055
a016,1.0,0.2165808874669634,0.09676821069226132,0.03588816247044095,0.0,0.03667640376501136,0.09676821069226132,0.2165808874669634,0.4533778457829091,0.5550609727824918,0.6132053600408031,0.6471924699772801,0.6519914684471646,0.7820049149163073,0.8788658598785181,0.6519914684471646,1.0
a017,1.0,0.3185940649106957,0.14872472027243033,0.05151504621585934,0.0,0.03342831329487803,0.14872472027243033,0.3185940649106957,0.5031447633609006,0.31192230175828756,0.1611995274167767,0.09693168392522065,0.07486621724928764,0.24066995621655432,0.454861352421989,0.07486621724928764,1.0
a018,1.0,0.429664543356933,0.1901315400240598,0.0788451298637269,0.0,0.06951702920701285,0.1901315400240598,0.429664543356933,0.8597826730037273,0.9358865639852486,0.9344666416865521,0.9140749797858284,0.8594276924290531,0.9460035103634606,0.9998027885696255,0.8594276924290531,1.0
a019,0.9868323650149173,0.8379281724578838,0.6198658561205949,0.46862872653042914,0.36474573229547547,0.4121222997375446,0.6198658561205949,0.8379281724578838,1.0,0.5674869333094058,0.24473406761030977,0.09461854236299604,0.0,0.09906009556069001,0.2604813925839521,0.0,0.9868323650149173
a020,0.729181238428307,0.3786566550092574,0.14745937049989713,0.05116231228142357,0.0,0.05116231228142357,0.14745937049989713,0.3786566550092574,0.8220942192964411,0.9839950627442913,1.0,0.9647603373791401,0.8988171158197902,0.93205101830899,0.9307961324830282,0.8988171158197902,0.729181238428307
a021,0.7342391229684988,0.2749378357214491,0.13166462886895358,0.05180585511945158,0.0,0.0523965874902117,0.13166462886895358,0.2749378357214491,0.6015853608275749,0.8105260265692187,0.9402123888942314,1.0,0.9733620914673518,0.9916747949609155,0.9524116992485335,0.9733620914673518,0.7342391229684988
a022,1.0,0.4265270672977323,0.18318433172379722,0.06607066022852226,0.0,0.04559289891794553,0.18318433172379722,0.4265270672977323,0.8142340361109783,0.7605775206769613,0.6698538668706475,0.6243087759557616,0.5607400678873643,0.6732322990868671,0.7688961132093513,0.5607400678873643,1.0
a023,0.789512823902697,0.624289397144368,0.3235887096774194,0.13289925965097832,0.0,0.08828001057641459,0.3235887096774194,0.624289397144368,1.0,0.7706240084611317,0.572398863035431,0.4740712585933369,0.3588709677419355,0.40089569011105236,0.4580579058699101,0.3588709677419355,0.789512823902697
a024,0.5357446225510344,0.7617481846828332,0.4768324428003836,0.2278942320865872,0.0,0.15185641868749145,0.4768324428003836,0.7617481846828332,1.0,0.5870667214686943,0.29469790382244143,0.14300589121797508,0.014303329223181258,0.08173722427729826,0.18912179750650773,0.014303329223181258,0.5357446225510344
a025,0.6292647933652937,0.5399797039577282,0.2841620883927634,0.12711271302096092,0.0,0.09176960492703923,0.2841620883927634,0.5399797039577282,0.9621898729747699,1.0,0.9986002729467753,0.9878398712251111,0.8877943800958813,0.8424432235714036,0.7639185358855023,0.8877943800958813,0.6292647933652937
a026,0.8434524418961811,0.690693150404423,0.4152503327531484,0.18892699907852975,0.0,0.12752124500870277,0.4152503327531484,0.690693150404423,1.0,0.7496928432476707,0.5704156854714856,0.4803419678509266,0.36807617487457767,0.44432783864031944,0.537524316576226,0.36807617487457767,0.8434524418961811
a027,0.8570195627157653,0.5865091721383605,0.2693427198267109,0.10862722534353211,0.0,0.07618628579164692,0.2693427198267109,0.5865091721383605,1.0,0.7950483991064781,0.5509713666824613,0.39093278277939486,0.2740980166520003,0.37693765653557165,0.5023691870303932,0.2740980166520003,0.8570195627157653
a028,1.0,0.5283089613798275,0.26835616136218265,0.0941573479785615,0.0,0.07346875758177286,0.26835616136218265,0.5283089613798275,0.7649705551511944,0.46997066543152693,0.23635280884007145,0.16577339597256224,0.1478859260239529,0.3244226824588103,0.5482255894483777,0.1478859260239529,1.0
a029,0.6349068424664865,0.10699106518823552,0.06303481365345019,0.027837070338817632,0.0,0.029197126252227406,0.06303481365345019,0.10699106518823552,0.16330745449164763,0.23081282230491698,0.3596088579937916,0.5283943154700064,0.7193058677597487,0.9441747419986526,1.0,0.7193058677597487,0.6349068424664865
a030,0.3920936373330625,0.22247118265373483,0.11354923069110852,0.04621566038693952,0.0,0.04669171786929366,0.11354923069110852,0.22247118265373483,0.4620486975067283,0.7023688620321942,0.8810681460417408,0.9880350886101661,1.0,0.9218694459960391,0.7803216879094095,1.0,0.3920936373330625
a031,0.41312012402480497,0.4187962592518504,0.18249899979995998,0.08155381076215243,0.0,0.06646329265853171,0.18249899979995998,0.4187962592518504,0.8789132826565313,1.0,0.97250700140028,0.8651605321064213,0.6916383276655331,0.6306011202240448,0.5570864172834566,0.6916383276655331,0.41312012402480497
a032,1.0,0.8204276022750634,0.7150688686356472,0.668162817789351,0.6379428493113136,0.6172137326115261,0.7150688686356472,0.8204276022750634,0.8967141780305626,0.5184334955115466,0.23850476255739053,0.08968340985403961,0.0,0.07890769547043103,0.21272185294319193,0.0,1.0
a033,0.9999078397640698,0.3913584418776112,0.3780105677070533,0.36444765298599163,0.33421909560088475,0.3034375768001966,0.3780105677070533,0.3913584418776112,0.3933398869501106,0.1391926763332514,0.030121037109855,0.007680019660850332,0.0,0.13287970017203243,0.2989678053575817,0.0,1.0
a034,0.7104786287842264,0.41779854034014396,0.18142674269754452,0.06797891971870793,0.0,0.0651028245581952,0.18142674269754452,0.41779854034014396,0.8742830543133115,1.0,0.9918039600339147,0.9248890292763212,0.8024471746105634,0.8024970490931157,0.7758474505827002,0.8024471746105634,0.7104786287842264
a035,0.6531336015244548,0.5566641964852848,0.2507145881854753,0.10496506457759898,0.0,0.06272496294727928,0.2507145881854753,0.5566641964852848,1.0,0.890085750582257,0.7574502434893077,0.7085935845860681,0.647099301291552,0.6843372856235443,0.6819420918907474,0.647099301291552,0.6531336015244548
a036,0.999369527145359,0.5690134267367192,0.2789725627553999,0.11502626970227671,0.0,0.08765907764156451,0.2789725627553999,0.5690134267367192,1.0,0.925580852305896,0.8124927028604787,0.7350145942790426,0.6468184471687098,0.7580852305896089,0.8544074722708698,0.6468184471687098,0.999369527145359
a037,0.7636302391607719,0.7312689475963621,0.42851643328040034,0.2322554256291805,0.11132765506953467,0.19024589769500985,0.42851643328040034,0.7312689475963621,1.0,0.5730474953082142,0.23199076079110725,0.0833694239930706,0.0,0.10812761657283095,0.2589625138347529,0.0,0.7636302391607719
a038,1.0,0.23938850568694947,0.10104315275578184,0.04027328769812704,0.0,0.03232857348533435,0.10104315275578184,0.23938850568694947,0.5231469968456736,0.609609570304831,0.6619766239545568,0.6921063309032368,0.6745284871012919,0.7616454851249297,0.8363938588798869,0.6745284871012919,1.0
a039,1.0,0.48936443084589876,0.2391491544676719,0.08341730638867005,0.0,0.061999596929334384,0.2391491544676719,0.48936443084589876,0.7761675308257452,0.5422216522233011,0.3405031054762646,0.26591671094336855,0.22478518165662043,0.3653285941994467,0.5411040471959107,0.22478518165662043,1.0
a040,0.7055384615384616,0.4640410256410256,0.22615384615384615,0.09602051282051283,0.0,0.08683076923076923,0.22615384615384615,0.4640410256410256,0.9018871794871794,1.0,0.9981948717948718,0.9486153846153846,0.8203282051282051,0.791774358974359,0.7609846153846154,0.8203282051282051,0.7055384615384616
a041,1.0,0.4213348302427316,0.18516511168750727,0.07876195269250126,0.0,0.04746235143819442,0.18516511168750727,0.4213348302427316,0.7759862181100229,0.6508845960280283,0.5160659672486547,0.43445859626030736,0.3579807208393016,0.44394332391312763,0.5558437536293601,0.3579807208393016,1.0
a042,0.21108032636676993,0.6800798464156377,0.36405384179065403,0.1812251843448667,0.048507788297918755,0.1264998472882761,0.36405384179065403,0.6800798464156377,1.0,0.6402111784981893,0.31001570749160084,0.1311575548671408,0.0,0.00704655525982809,0.03743618831537152,0.0,0.21108032636676993
a043,0.20978735860497208,0.6357392267965793,0.2918644280427374,0.10628933447634181,0.0,0.08470111025153156,0.2918644280427374,0.6357392267965793,1.0,0.7101741694022206,0.3889225751144751,0.21512952934534887,0.0901582787964957,0.09476864532586196,0.12259811403600476,0.0901582787964957,0.20978735860497208
a044,1.0,0.6341250585280722,0.3423360149831865,0.14795896650065976,0.0,0.09707146809687991,0.3423360149831865,0.6341250585280722,0.9802281530668709,0.7797854680117482,0.633827097433278,0.5956242284935939,0.5612522879155493,0.6918018133060911,0.796322308772826,0.5612522879155493,1.0
a045,0.9057536180727145,0.5391532130715069,0.25318148884388875,0.10667508871012689,0.0,0.06961190480613819,0.25318148884388875,0.5391532130715069,1.0,0.9424638192728556,0.8257565905586416,0.7373251342263176,0.5999405502814572,0.6638675757519461,0.7272929942222305,0.5999405502814572,0.9057536180727145
a046,0.48039458137553925,0.21374989695820626,0.10415922475934017,0.0412808323945081,0.0,0.04265472297786204,0.10415922475934017,0.21374989695820626,0.4970644537869004,0.7572243746508028,0.9256358823583289,1.0,0.9460061000741901,0.8651755374201998,0.7470392657928723,0.9460061000741901,0.48039458137553925
a047,0.9746163174842136,0.23165920907734983,0.11097171691827319,0.042794017201243394,0.0,0.045080081963785386,0.11097171691827319,0.23165920907734983,0.5147130570540431,0.6976958139923891,0.8117342031530966,0.8685652155731193,0.8529251871367038,0.9438520191248833,1.0,0.8529251871367038,0.9746163174842136
a048,0.3315721616907248,0.6044062997699522,0.28683924463432514,0.11444245013524787,0.0,0.08514295826276007,0.28683924463432514,0.6044062997699522,1.0,0.7991379528275653,0.5427737189372298,0.370882523952777,0.22691306216346033,0.22205930682306546,0.23748009201911166,0.22691306216346033,0.3315721616907248
a049,0.5466622749231445,0.12925633143024448,0.07427170253257209,0.031979212413995026,0.0,0.033735909822866346,0.07427170253257209,0.12925633143024448,0.22735324257063388,0.3648440931049627,0.5451617625530669,0.7345264236568584,0.8956009369052848,1.0,0.9692724344898258,0.8956009369052848,0.5466622749231445
a050,0.45923604068713314,0.5997357180172705,0.24069635229402908,0.0848775391045143,0.0,0.06270550997203528,0.24069635229402908,0.5997357180172705,1.0,0.6920039334992778,0.3492670784548723,0.14586214314249715,0.03921207092590885,0.09085461417903568,0.17929688700408716,0.03921207092590885,0.45923604068713314
a051,0.23805487869477698,0.34849736907158246,0.14529787760002824,0.0595967086908924,0.0,0.05112123459406011,0.14529787760002824,0.34849736907158246,0.7876611222940283,0.9908464879754211,1.0,0.8894798177773069,0.6604795705759791,0.5185789455097645,0.3922166896210757,0.6604795705759791,0.23805487869477698
a052,0.7640425819432141,0.41633008513385683,0.16881127910992327,0.06559961562138707,0.0,0.062236302758216844,0.16881127910992327,0.41633008513385683,0.8857074218104833,1.0,0.9627182775033408,0.8718187414603384,0.744553385084308,0.7800633624119758,0.7990420564255792,0.744553385084308,0.7640425819432141
a053,0.999871912168344,0.3804757548032937,0.30492223238792315,0.24922232387923146,0.2210064043915828,0.22839890210430008,0.30492223238792315,0.3804757548032937,0.4310338517840805,0.2084354986276304,0.0683989021043001,0.016102470265324794,0.0,0.1452150045745654,0.33868252516010977,0.0,1.0
a054,0.8052114207731838,0.6104015182207817,0.3095933641810777,0.13350534149305926,0.0,0.08490948248288803,0.3095933641810777,0.6104015182207817,1.0,0.7914152291191334,0.6441989892743673,0.6145382433844382,0.5816789986566305,0.7070388297758918,0.7774058042092244,0.5816789986566305,0.8052114207731838
a055,0.525209577746028,0.20262337975315442,0.10799063570481814,0.04580586301275541,0.0,0.04894737748093574,0.10799063570481814,0.20262337975315442,0.42431962542819274,0.6429173910798203,0.8207615375346428,0.9469213158211833,1.0,0.9811164856351023,0.890296593393352,1.0,0.525209577746028
a056,0.9877268277991115,0.46008081720753957,0.21346284165348994,0.08548553070802901,0.0,0.07780538614060187,0.21346284165348994,0.46008081720753957,0.8654468790000753,0.9093943729136862,0.8843209597670858,0.8532239038225033,0.7995632858971463,0.9222448108827147,1.0,0.7995632858971463,0.9877268277991115
a057,1.0,0.34230174311380807,0.1532958534118627,0.06071152358855375,0.0,0.0427003391040514,0.1532958534118627,0.34230174311380807,0.6777172943066214,0.6776726753524898,0.6328008804806948,0.5817419239693021,0.5038967219941698,0.5835713010887025,0.6842019156404308,0.5038967219941698,1.0
a058,0.7527174406155298,0.1407080770138095,0.07578891973796432,0.03110312664452792,0.0,0.03328070843994411,0.07578891973796432,0.1407080770138095,0.2789845210227376,0.44521567133032103,0.6116464333024842,0.7595677500136099,0.8698441214364782,0.9740777033770665,1.0,0.8698441214364782,0.7527174406155298
a059,0.851150956148372,0.5996898978253091,0.27074305251858627,0.10092235518626008,0.0,0.06299447382022025,0.27074305251858627,0.5996898978253091,1.0,0.7169323738719039,0.43310937065161215,0.27933049735618015,0.1611934958056693,0.2587961674551743,0.39617540651214567,0.1611934958056693,0.851150956148372
a060,0.18345723078652632,0.7308919211365776,0.43175334804176446,0.21263051390508847,0.033656075659420186,0.1550849482160172,0.43175334804176446,0.7308919211365776,1.0,0.6416014389904583,0.33074296313992213,0.14430657242028638,0.0,0.002121948820280772,0.029468388583634295,0.0,0.18345723078652632
a061,0.7573640619373424,0.8602232625135038,0.6058480374504861,0.37921498019445443,0.2037450486136118,0.3023838674828952,0.6058480374504861,0.8602232625135038,1.0,0.49117752970831835,0.16213179690313287,0.04990997479294202,0.0,0.14828952106589846,0.3240475333093266,0.0,0.7573640619373424
a062,0.21399695591899254,0.6180356952428964,0.3016160774010916,0.12338222605694564,0.0,0.0885110178282324,0.3016160774010916,0.6180356952428964,1.0,0.8031720487440742,0.5537706856937887,0.38104332483446596,0.21753545772702154,0.18671656115791413,0.17526732654070246,0.21753545772702154,0.21399695591899254
a063,0.6955466689777271,0.2264426588750913,0.11146327270926447,0.04187146376793651,0.0,0.04626660558863949,0.11146327270926447,0.2264426588750913,0.4606603855344121,0.6423345012442585,0.7966596922162658,0.9180646519171485,0.974235802453851,1.0,0.9650988597392629,0.974235802453851,0.6955466689777271
a064,1.0,0.9905760582160049,0.9317046712920066,0.8156794503830596,0.6107934642590793,0.7210784424506769,0.9317046712920066,0.9905760582160049,0.9156365115595833,0.43497028181427827,0.187371466021831,0.06888291260819454,0.0,0.1400483626748627,0.34186083301317544,0.0,1.0
a065,0.7958618381915527,0.5766656751933373,0.2822352766210589,0.11548185603807258,0.0,0.08754089827483641,0.2822352766210589,0.5766656751933373,1.0,0.9121244794765021,0.7755428316478287,0.6796921475312314,0.5781342950624628,0.63139500297442,0.6839678762641285,0.5781342950624628,0.7958618381915527
a066,1.0,0.5874118042333968,0.6074108442794746,0.5889797289730093,0.5304225397180935,0.5433179207398044,0.6074108442794746,0.5874118042333968,0.508647584915924,0.24146040990032477,0.10701886309457145,0.03783818376717918,0.0,0.10895477017103179,0.2740348463273763,0.0,1.0
